timestamp,currency,price,action,change,balance
1735690380000,twd,1.0,deposit,66770,66770
1735698465776,sol,5196.75,buy,1.12639906,1.12639906
1735699056522,sol,5197.95,sell,-0.25518823,0.87121083
1735703538749,usdt,32.38,buy,1044.199909,1044.199909
1735705748938,eth,114954.79,deposit,0.62539115,0.62539115
1735706747209,usdt,32.37,withdrawal,-151.000000,893.199909
1735708208044,eth,114997.25,sell,-0.11250107,0.51289008
1735720141757,doge,12.59,buy,1296.88484504,1296.88484504
1735722525397,twd,1.0,deposit,113618,138661
1735725328918,sol,5211.11,deposit,9.75341645,10.62462728
1735725872424,twd,1.0,withdrawal,-9364,129297
1735727085618,btc,3149444.04,deposit,0.00857354,0.00857354
1735727281930,eth,115082.24,withdrawal,-0.04826499,0.46462509
1735729069693,sol,5205.74,sell,-5.52203291,5.10259437
1735737038735,btc,3147669.14,sell,-0.00398867,0.00458487
1735740971337,sol,5203.61,withdrawal,-1.31327286,3.78932151
1735741954608,btc,3146365.19,withdrawal,-0.00136287,0.00322200
1735742315960,sol,5201.08,deposit,2.68275716,6.47207867
1735742883027,usdt,32.36,sell,-505.625489,387.574420
1735752564758,sol,5204.03,deposit,12.22156530,18.69364397
1735753237354,doge,12.6,sell,-374.14585577,922.73898927
1735754375909,btc,3148132.19,deposit,0.02240283,0.02562483
1735757018287,usdt,32.38,sell,-186.636968,200.937452
1735762037891,eth,115005.16,sell,-0.20059063,0.26403446
1735762324479,eth,115041.94,withdrawal,-0.08000031,0.18403415
1735763045920,eth,115039.98,sell,-0.04003884,0.14399531
1735764477104,sol,5202.94,deposit,14.49536509,33.18900906
1735766384509,doge,12.73,sell,-494.93929459,427.79969468
1735768386690,doge,12.71,withdrawal,-130.17937914,297.62031554
1735768979942,sol,5211.44,buy,6.40663169,39.59564075
1735770207147,usdt,32.37,withdrawal,-98.000000,102.937452
1735771612842,usdc,32.35,buy,219.240958,219.240958
1735772920658,usdc,32.35,withdrawal,-95.000000,124.240958
1735774078040,usdt,32.37,withdrawal,-51.000000,51.937452
1735778904066,twd,1.0,withdrawal,-20441,170773
1735787410739,sol,5217.02,sell,-9.11261183,30.48302892
1735793475302,eth,115310.11,sell,-0.01833004,0.12566527
1735793801304,btc,3145354.57,deposit,0.04865105,0.07427588
1735802035495,sol,5225.18,deposit,4.55801749,35.04104641
1735806623388,usdc,32.35,deposit,850.000000,974.240958
1735812076845,usdt,32.36,deposit,1589.000000,1640.937452
1735816343008,usdt,32.36,sell,-794.193628,846.743824
1735816647204,doge,12.81,withdrawal,-90.16072322,207.45959232
1735821965589,usdt,32.37,deposit,849.000000,1695.743824
1735831739630,eth,115378.17,buy,0.24967175,0.37533702
1735832162452,doge,12.72,deposit,2332.33896403,2539.79855635
1735833768406,usdc,32.34,withdrawal,-173.000000,801.240958
1735834286229,eth,115307.19,buy,0.17129037,0.54662739
1735847363643,usdc,32.33,buy,1516.046396,2317.287354
1735861096394,doge,12.79,sell,-1067.08772575,1472.71083060
1735864552609,twd,1.0,withdrawal,-27911,134288
1735865305990,doge,12.77,deposit,1924.82134141,3397.53217201
1735865538467,eth,115189.08,deposit,1.48382136,2.03044875
1735880660760,usdt,32.36,deposit,1521.000000,3216.743824
1735885829854,doge,12.72,sell,-1704.44548074,1693.08669127
1735887050574,usdc,32.35,buy,1257.615695,3574.903049
1735889299557,usdt,32.36,buy,495.899823,3712.643647
1735897592855,btc,3145747.89,deposit,0.01891499,0.09319087
1735911830109,eth,115062.4,withdrawal,-0.03475812,1.99569063
1735914216373,usdc,32.35,sell,-1486.689587,2088.213462
1735920392415,usdc,32.34,sell,-866.076069,1222.137393
1735920902975,sol,5255.85,sell,-3.79014241,31.25090400
1735926617629,sol,5258.87,withdrawal,-3.22562048,28.02528352
1735929747357,sol,5262.86,buy,5.31814508,33.34342860
1735932354762,twd,1.0,withdrawal,-8705,158570
1735933795623,btc,3142175.2,buy,0.00549161,0.09868248
1735937789384,eth,114964.18,deposit,0.46861303,2.46430366
1735941322297,usdc,32.37,withdrawal,-284.000000,938.137393
1735942971496,usdc,32.36,sell,-373.930810,564.206583
1735947941689,usdt,32.36,withdrawal,-200.000000,3512.643647
1735948325790,usdc,32.37,buy,866.641374,1430.847957
1735949377925,usdt,32.36,withdrawal,-444.000000,3068.643647
1735951136679,sol,5252.28,deposit,10.01626518,43.35969378
1735957991847,eth,115003.8,buy,0.28923711,2.75354077
1735959104789,eth,114978.17,withdrawal,-0.55258497,2.20095580
1735959664944,usdt,32.36,deposit,1243.000000,4311.643647
1735969055025,doge,12.73,buy,3310.57139750,5003.65808877
1735973571047,usdc,32.37,deposit,1556.000000,2986.847957
1735975884725,usdt,32.35,sell,-1868.134448,2443.509199
1735976870697,usdc,32.37,buy,974.477256,3961.325213
1735980083005,twd,1.0,withdrawal,-27485,51369
1735981172475,sol,5244.96,deposit,6.33125953,49.69095331
1735984858075,doge,12.68,buy,813.81386365,5817.47195242
1735989183506,eth,115050.72,buy,0.18311379,2.38406959
1735989339094,btc,3139572.42,sell,-0.01528443,0.08339805
1735989867656,sol,5253.8,buy,7.08961965,56.78057296
1735992608439,doge,12.7,buy,694.04638539,6511.51833781
1735993771121,eth,115136.28,deposit,1.14819168,3.53226127
1735996085202,doge,12.68,buy,595.12377216,7106.64210997
1735997716443,doge,12.66,buy,316.80501310,7423.44712307
1735997962683,usdt,32.35,withdrawal,-197.000000,2246.509199
1735999720007,twd,1.0,withdrawal,-5162,5184
1736000160000,usdt,32.36,withdrawal,-227.000000,2019.509199
1736001000000,btc,3141150.75,buy,0.00065106,0.08404911
1736001148022,eth,115186.57,deposit,1.03562993,4.56789120
1736002140000,sol,5269.01,withdrawal,-21.42262600,35.35794696
1736002980000,sol,5268.51,withdrawal,-7.02839058,28.32955638
1736003914857,usdc,32.37,deposit,2651.000000,6612.325213
1736004720000,eth,115155.71,buy,0.01380390,4.58169510
1736004996799,btc,3141167.2,withdrawal,-0.03110286,0.05294625
1736005500000,sol,5286.55,sell,-1.27271702,27.05683936
1736007240000,doge,12.75,sell,-870.39389494,6553.05322813
1736008680000,usdt,32.38,withdrawal,-369.000000,1650.509199
1736009940000,sol,5284.57,deposit,4.35145022,31.40828958
1736011500000,sol,5282.17,deposit,14.24720110,45.65549068
